id,room_type,category,street,city,prefecture,cost,size,deposit,key_money,floor,year,station,minute,created_at
12970,1K,Apartment,Minamikarasuyama,Setagaya-ku,Tokyo,128000.0,38.25,124000.0,0.0,2,2000,Chitose Karasuyama,4,2025-01-20 16:17:51
12971,1LDK,Apartment,Shinjuku,Shinjuku-ku,Tokyo,232500.0,29.67,0.0,0.0,4,2023,Higashi-Shinjuku,4,2025-01-20 16:17:51
12972,1LDK,Apartment,Shirokane,Minato-ku,Tokyo,275400.0,57.26,0.0,0.0,1,2008,Shirokane-takanawa,5,2025-01-20 16:17:51
12973,1K,Apartment,Kasugademinami,Osaka-shi Konohana-ku,Osaka,96500.0,19.87,0.0,89000.0,2,2009,Chidori Kyou,13,2025-01-20 16:17:51
12974,1K,Apartment,Miyazawacho,Akishima-shi,Tokyo,55500.0,23.61,0.0,0.0,1,2008,Nakagami,24,2025-01-20 16:17:51
12975,2LDK,Apartment,Higashishinagawa,Shinagawa-ku,Tokyo,262000.0,67.6,254000.0,254000.0,8,2007,Shinagawa Seaside,9,2025-01-20 16:17:51
12976,2LDK,Apartment,Minamisemba,Osaka-shi Chuo-ku,Osaka,210520.0,50.89,192200.0,192200.0,11,2023,Nagahoribashi,4,2025-01-20 16:17:51
12977,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
12978,1K,Apartment,Tamagawagakuen,Machida-shi,Tokyo,54000.0,19.87,0.0,0.0,1,2003,Tamagawagakuen Mae,16,2025-01-20 16:17:51
12979,2DK,Apartment,Mukaizano,Dazaifu-shi,Fukuoka,62500.0,49.68,0.0,0.0,1,2000,Tofurouminami,19,2025-01-20 16:17:51
12980,1K,Apartment,Reisencho,Kyoto-shi Nakagyo-ku,Kyoto,69000.0,20.23,50000.0,0.0,4,1989,Marutamachi,5,2025-01-20 16:17:51
12981,1R,Apartment,Tsukiyoshimachi,Kawagoe-shi,Saitama,73550.0,27.8,0.0,0.0,2,2013,Kawagoe Shi,13,2025-01-20 16:17:51
12982,3LDK,Apartment,Sasazuka,Shibuya-ku,Tokyo,265000.0,62.06,504000.0,252000.0,8,1998,Sasazuka,1,2025-01-20 16:17:51
12983,Office,office,Asakusabashi,Taito-ku,Tokyo,713490.0,138.77,0.0,0.0,4,2023,Asakusabashi,2,2025-01-20 16:17:51
12984,2LDK,Apartment,Miyanishicho,Fuchu-shi,Tokyo,264400.0,91.82,0.0,0.0,4,1992,Fuchu,6,2025-01-20 16:17:51
12985,1LDK,Apartment,Kitanakadori,Yokohama-shi Naka-ku,Kanagawa,320000.0,54.45,290000.0,290000.0,18,2019,Bashamichi,1,2025-01-20 16:17:51
12987,1K,Apartment,Ichiba nishinakacho,Yokohama-shi Tsurumi-ku,Kanagawa,86050.0,19.87,0.0,80000.0,1,2004,Tsurumiichiba,7,2025-01-20 16:17:51
12988,1K,Apartment,Oshiage,Sumida-ku,Tokyo,181200.0,25.14,0.0,0.0,2,2022,Oshiage,4,2025-01-20 16:17:51
12989,1LDK,Apartment,Sasazuka,Shibuya-ku,Tokyo,177000.0,33.96,0.0,0.0,3,2015,Sasazuka,5,2025-01-20 16:17:51
12990,1K,Apartment,Narashinodai,Funabashi-shi,Chiba,61000.0,23.18,0.0,0.0,1,2012,Kitanarashino,4,2025-01-20 16:17:51
12991,1R,Apartment,Megurohoncho,Meguro-ku,Tokyo,85000.0,19.34,0.0,0.0,1,2017,Musashi Koyama,12,2025-01-20 16:17:51
12992,1K,Apartment,Fujimicho,Yokosuka-shi,Kanagawa,62074.0,23.18,0.0,56000.0,2,2006,Kenritsu Daigaku,13,2025-01-20 16:17:51
12993,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
12994,1R,Apartment,Kitazawa,Setagaya-ku,Tokyo,77000.0,18.26,73000.0,0.0,2,1997,Shimokitazawa,4,2025-01-20 16:17:51
12995,1K,Apartment,Nukui,Nerima-ku,Tokyo,65000.0,19.9,0.0,0.0,1,2000,Nakamurabashi,4,2025-01-20 16:17:51
12996,2LDK,Apartment,Takashimadaira,Itabashi-ku,Tokyo,237000.0,56.03,0.0,0.0,7,2024,Nishidai,5,2025-01-20 16:17:51
12997,2LDK,Apartment,Kandatacho,Chiyoda-ku,Tokyo,363000.0,57.49,343000.0,0.0,12,2021,Kanda,3,2025-01-20 16:17:51
12998,1DK,Apartment,Meiekiminami,Nagoya-shi Nakamura-ku,Aichi,78790.0,28.02,0.0,0.0,12,2022,Osukannon,9,2025-01-20 16:17:51
12999,2LDK,Apartment,Tsukiji,Chuo-ku,Tokyo,480000.0,45.0,210000.0,0.0,7,2019,Tsukiji,6,2025-01-20 16:17:51
13000,1K,Apartment,Fujimidai,Kunitachi-shi,Tokyo,67000.0,20.01,0.0,0.0,3,2004,Yaho,6,2025-01-20 16:17:51
13001,1R,Apartment,Oguchinakamachi,Yokohama-shi Kanagawa-ku,Kanagawa,64500.0,16.52,0.0,0.0,1,2017,Myourenji,10,2025-01-20 16:17:51
13002,1K,Apartment,Misakicho,Hachioji-shi,Tokyo,79000.0,24.8,0.0,0.0,7,2011,Hachioji,5,2025-01-20 16:17:51
13003,1DK,Apartment,Minamisenju,Arakawa-ku,Tokyo,116000.0,24.5,0.0,0.0,10,2024,Minamisenju,2,2025-01-20 16:17:51
13004,1LDK,Apartment,Hommachi,Shibuya-ku,Tokyo,196000.0,33.9,0.0,0.0,1,2024,Hatagaya,10,2025-01-20 16:17:51
13005,1K,Apartment,Naka,Fukuoka-shi Hakata-ku,Fukuoka,61550.0,23.65,0.0,112000.0,1,2017,Takeshita,9,2025-01-20 16:17:51
13006,1R,Apartment,Nishiogikita,Suginami-ku,Tokyo,85000.0,24.58,82000.0,0.0,1,2001,Nishi Ogikubo,4,2025-01-20 16:17:51
13007,1K,Apartment,Higashikoigakubo,Kokubunji-shi,Tokyo,60000.0,19.87,0.0,0.0,2,2003,Koigakubo,13,2025-01-20 16:17:51
13008,1LDK,Apartment,Tamagawadai,Setagaya-ku,Tokyo,166440.0,46.31,0.0,0.0,3,2011,Youga,9,2025-01-20 16:17:51
13009,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
13010,1LDK,Apartment,Ichigayakagacho,Shinjuku-ku,Tokyo,213000.0,42.0,0.0,0.0,1,2022,Ushigome Yanagicho,8,2025-01-20 16:17:51
13011,1SLDK,Apartment,Kamiosaki,Shinagawa-ku,Tokyo,335000.0,54.38,0.0,0.0,2,2004,Shirokanedai,7,2025-01-20 16:17:51
13012,1LDK,Apartment,Shinjuku,Shinjuku-ku,Tokyo,247110.0,40.12,0.0,0.0,6,2022,Shinjuku Gyoen Mae,6,2025-01-20 16:17:51
13014,1DK,Apartment,Kameari,Katsushika-ku,Tokyo,97480.0,29.3,90000.0,0.0,2,2017,Kameari,3,2025-01-20 16:17:51
13015,2LDK,Apartment,Nishishinjuku,Shinjuku-ku,Tokyo,315000.0,64.84,300000.0,300000.0,10,2014,Shinjuku,7,2025-01-20 16:17:51
13016,1K,Apartment,Nishihirai,Nagareyama-shi,Chiba,61000.0,19.87,0.0,56000.0,2,2008,Minaminagareyama,12,2025-01-20 16:17:51
13017,1K,Apartment,Kanedencho,Suita-shi,Osaka,91000.0,35.86,0.0,100000.0,2,2000,Toyotsu,9,2025-01-20 16:17:51
13018,1LDK,Apartment,Toyotamanaka,Nerima-ku,Tokyo,143000.0,31.97,0.0,0.0,6,2022,Nerima,11,2025-01-20 16:17:51
13019,1LDK,Apartment,Negishi,Taito-ku,Tokyo,189500.0,40.39,0.0,0.0,3,2024,Uguisudani,5,2025-01-20 16:17:51
13020,2LDK,Apartment,Nishioi,Shinagawa-ku,Tokyo,244000.0,48.44,224000.0,0.0,1,2023,Nishioi,7,2025-01-20 16:17:51
13021,1K,Apartment,Matsubara,Setagaya-ku,Tokyo,66000.0,20.44,0.0,0.0,8,1992,Meidaimae,5,2025-01-20 16:17:51
13022,1R,Apartment,Meinohama,Fukuoka-shi Nishi-ku,Fukuoka,69550.0,27.8,0.0,64000.0,3,2015,Meinohama,7,2025-01-20 16:17:51
13023,1K,Apartment,Shinjuku,Shinjuku-ku,Tokyo,123000.0,24.77,0.0,0.0,9,2004,Shinjuku Gyoen Mae,2,2025-01-20 16:17:51
13024,1K,Apartment,Nagareyama,Nagareyama-shi,Chiba,55000.0,20.28,0.0,0.0,2,2002,Minaminagareyama,19,2025-01-20 16:17:51
13025,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
13026,1LDK,Apartment,Jingumae,Shibuya-ku,Tokyo,330000.0,53.32,320000.0,480000.0,4,2008,Meiji Jingumae,6,2025-01-20 16:17:51
13027,2SLDK,Terrace house,Yamatecho,Yokohama-shi Naka-ku,Kanagawa,580000.0,123.14,580000.0,580000.0,1,2008,Motomachi   Chuka Gai,22,2025-01-20 16:17:51
13028,1K,Apartment,Kisohigashi,Machida-shi,Tokyo,70074.0,28.02,0.0,64000.0,2,2011,Kobuchi,14,2025-01-20 16:17:51
13029,1DK,Apartment,Sasazuka,Shibuya-ku,Tokyo,173000.0,33.45,0.0,0.0,2,2022,Sasazuka,2,2025-01-20 16:17:51
13030,1K,Apartment,Kitaotsuka,Toshima-ku,Tokyo,125000.0,25.5,115000.0,0.0,5,2022,Otsuka,3,2025-01-20 16:17:51
13031,2LDK,Apartment,Kitanakadori,Yokohama-shi Naka-ku,Kanagawa,470000.0,83.6,450000.0,450000.0,21,2019,Bashamichi,1,2025-01-20 16:17:51
